

[46936187.584048] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140154671609664

[46939188.429186] Entering thread2, pid =  140154652579584

[46939188.605052] Entering thread1, pid =  140154660972288

[46939188.605052]Thread1: Initialising communication  String length:  35  ,LED command sent by thread1:  0 

[46940189.436109]Thread2: Communication initialised  String length: 34  , LED command for which aknowledgement was received from thread2:  0 

[46941189.890831]Thread1: Opening gateway  String length:  24  ,LED command sent by thread1:  1 

[46942190.752886]Thread2: Gateway opened  String length: 23  , LED command for which aknowledgement was received from thread2:  1 

[46943192.221331]Thread1: Checking system status  String length:  31  ,LED command sent by thread1:  2 

[46944192.744008]Thread2: Status positive  String length: 24  , LED command for which aknowledgement was received from thread2:  2 

[46945193.520295]Thread1: Adding parity bits  String length:  27  ,LED command sent by thread1:  3 

[46946193.826363]Thread2: Parity bits added successfull  String length: 38  , LED command for which aknowledgement was received from thread2:  3 

[46947194.090861]Thread1: Sending data  String length:  21  ,LED command sent by thread1:  4 

[46948195.041593]Thread2: Data sent  String length: 18  , LED command for which aknowledgement was received from thread2:  4 

[46949195.321733]Thread1: Extracting data  String length:  24  ,LED command sent by thread1:  5 

[46950196.057037]Thread2: Data extracted  String length: 23  , LED command for which aknowledgement was received from thread2:  5 

[46951196.952845]Thread1: Extracting parity  String length:  26  ,LED command sent by thread1:  8 

[46952197.416848]Thread2: Parity extracted  String length: 25  , LED command for which aknowledgement was received from thread2:  6 

[46953199.172133]Thread1: Waiting for Acknowledgement  String length:  36  ,LED command sent by thread1:  9 

[46954200.078758]Thread2: Acknowledgement sent  String length: 29  , LED command for which aknowledgement was received from thread2:  7 

[46955200.452046]Thread1: Closing the gateway  String length:  28  ,LED command sent by thread1:  0 

[46956200.709698]Thread2: Gateway closed  String length: 23  , LED command for which aknowledgement was received from thread2:  8 

[46957201.507477]Thread1: Closing the connection  String length:  31  ,LED command sent by thread1:  0 

[46958201.647534]Thread2: Connection closed  String length: 26  , LED command for which aknowledgement was received from thread2:  9 

[46958201.684721] Exiting thread1, pid =  140154660972288

[46959202.232182] Exiting thread2, pid =  140154652579584

[46959202.320641] EXiting main thread, pid =  140154671609664


[65003767.856957] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 139712628737856

[65006768.639629] Entering thread2, pid =  139712609707776

[65006768.870892] Entering thread1, pid =  139712618100480

[65006768.870892]Thread1: Initialising communication  String length:  35  ,LED command sent by thread1:  0 

[65007770.486015]Thread2: Communication initialised  String length: 34  , LED command for which aknowledgement was received from thread2:  0 

[65008771.163031]Thread1: Opening gateway  String length:  24  ,LED command sent by thread1:  1 

[65009772.103117]Thread2: Gateway opened  String length: 23  , LED command for which aknowledgement was received from thread2:  1 

[65010772.139827]Thread1: Checking system status  String length:  31  ,LED command sent by thread1:  2 

[65011772.404620]Thread2: Status positive  String length: 24  , LED command for which aknowledgement was received from thread2:  2 

[65012773.069614]Thread1: Adding parity bits  String length:  27  ,LED command sent by thread1:  3 

[65013774.121558]Thread2: Parity bits added successfull  String length: 38  , LED command for which aknowledgement was received from thread2:  3 

[65014774.583483]Thread1: Sending data  String length:  21  ,LED command sent by thread1:  4 

[65015775.475538]Thread2: Data sent  String length: 18  , LED command for which aknowledgement was received from thread2:  4 

[65016776.250688]Thread1: Extracting data  String length:  24  ,LED command sent by thread1:  5 

[65017777.087049]Thread2: Data extracted  String length: 23  , LED command for which aknowledgement was received from thread2:  5 

[65018777.189029]Thread1: Extracting parity  String length:  26  ,LED command sent by thread1:  8 

[65019777.551782]Thread2: Parity extracted  String length: 25  , LED command for which aknowledgement was received from thread2:  6 

[65020779.148907]Thread1: Waiting for Acknowledgement  String length:  36  ,LED command sent by thread1:  9 

[65021780.160531]Thread2: Acknowledgement sent  String length: 29  , LED command for which aknowledgement was received from thread2:  7 

[65022781.057763]Thread1: Closing the gateway  String length:  28  ,LED command sent by thread1:  0 

[65023781.806007]Thread2: Gateway closed  String length: 23  , LED command for which aknowledgement was received from thread2:  8 

[65024782.515770]Thread1: Closing the connection  String length:  31  ,LED command sent by thread1:  0 

[65025783.030333]Thread2: Connection closed  String length: 26  , LED command for which aknowledgement was received from thread2:  9 

[65025783.073358] Exiting thread1, pid =  139712618100480

[65026784.161429] Exiting thread2, pid =  139712609707776

[65026784.273757] EXiting main thread, pid =  139712628737856

[65041775.497259] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140360453924672

[65043379.217458] Entering thread2, pid =  140360434894592

[65043379.368248] Exiting thread2 due to kill signal, pid =  140360434894592

[65043379.368248] Entering thread1, pid =  140360443287296

[65043379.396233] Exiting thread1 due to kill signal, pid =  140360443287296

[65043379.619335] EXiting main thread, pid =  140360453924672


[65399853.591348] Main thread:Using SOCKETS for INTER PROCESS COMMUNICATION pid = 140056414148416

[65402854.241750] Entering thread2, pid =  140056395118336

[65402854.416949] Entering thread1, pid =  140056403511040

[65402854.416949]Thread1: Initialising communication  String length:  35  ,LED command sent by thread1:  0 

[65403855.521319]Thread2: Communication initialised  String length: 34  , LED command for which aknowledgement was received from thread2:  0 

[65404856.936864]Thread1: Opening gateway  String length:  24  ,LED command sent by thread1:  1 

[65405857.318852]Thread2: Gateway opened  String length: 23  , LED command for which aknowledgement was received from thread2:  1 

